時間,設備,值
2024-10-26 10:29:47,SA-37/LINE_LEVEL,544
2024-10-26 10:29:49,SA-37/LINE_LEVEL,560
2024-10-26 10:29:51,SA-37/TEMPERATURE,28.44883
2024-10-26 10:29:51,SA-37/LINE_LEVEL,544
2024-10-26 10:29:55,SA-37/TEMPERATURE,28.91698
2024-10-26 10:29:55,SA-37/LINE_LEVEL,560
2024-10-26 10:29:57,SA-37/TEMPERATURE,28.44883
2024-10-26 10:29:57,SA-37/LINE_LEVEL,576
2024-10-26 10:29:59,SA-37/TEMPERATURE,28.91698
2024-10-26 10:29:59,SA-37/LINE_LEVEL,544
2024-10-26 10:30:01,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:01,SA-37/LINE_LEVEL,560
2024-10-26 10:30:05,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:07,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:09,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:10,SA-37/LINE_LEVEL,576
2024-10-26 10:30:11,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:11,SA-37/LINE_LEVEL,560
2024-10-26 10:30:13,SA-37/LINE_LEVEL,544
2024-10-26 10:30:15,SA-37/LINE_LEVEL,560
2024-10-26 10:30:19,SA-37/LINE_LEVEL,576
2024-10-26 10:30:21,SA-37/LINE_LEVEL,560
2024-10-26 10:30:23,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:25,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:25,SA-37/LINE_LEVEL,544
2024-10-26 10:30:30,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:31,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:33,SA-37/LINE_LEVEL,560
2024-10-26 10:30:35,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:37,SA-37/TEMPERATURE,28.44883
2024-10-26 10:30:39,SA-37/LINE_LEVEL,544
2024-10-26 10:30:41,SA-37/TEMPERATURE,28.91698
2024-10-26 10:30:41,SA-37/LINE_LEVEL,560
2024-10-26 10:30:43,SA-37/LINE_LEVEL,544
2024-10-26 10:30:48,SA-37/LINE_LEVEL,560
2024-10-26 10:30:50,SA-37/LINE_LEVEL,544
2024-10-26 10:30:55,SA-37/LINE_LEVEL,576
2024-10-26 10:30:57,SA-37/LINE_LEVEL,544
2024-10-26 10:31:10,SA-37/LINE_LEVEL,560
2024-10-26 10:31:17,SA-37/TEMPERATURE,28.44883
2024-10-26 10:31:19,SA-37/TEMPERATURE,28.91698
2024-10-26 10:31:21,SA-37/LINE_LEVEL,544
2024-10-26 10:31:23,SA-37/TEMPERATURE,28.44883
2024-10-26 10:31:23,SA-37/LINE_LEVEL,560
2024-10-26 10:31:25,SA-37/TEMPERATURE,28.91698
2024-10-26 10:31:25,SA-37/LINE_LEVEL,576
2024-10-26 10:31:27,SA-37/TEMPERATURE,28.44883
2024-10-26 10:31:27,SA-37/LINE_LEVEL,544
2024-10-26 10:31:33,SA-37/LINE_LEVEL,560
2024-10-26 10:31:35,SA-37/LINE_LEVEL,544
2024-10-26 10:31:37,SA-37/LINE_LEVEL,560
2024-10-26 10:31:39,SA-37/TEMPERATURE,28.91698
2024-10-26 10:31:39,SA-37/LINE_LEVEL,544
2024-10-26 10:31:41,SA-37/TEMPERATURE,28.44883
2024-10-26 10:31:41,SA-37/LINE_LEVEL,576
2024-10-26 10:31:43,SA-37/LINE_LEVEL,544
2024-10-26 10:31:49,SA-37/LINE_LEVEL,560
2024-10-26 10:31:57,SA-37/TEMPERATURE,27.98069
2024-10-26 10:31:57,SA-37/LINE_LEVEL,544
2024-10-26 10:31:59,SA-37/TEMPERATURE,28.44883
2024-10-26 10:31:59,SA-37/LINE_LEVEL,560
2024-10-26 10:32:05,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:07,SA-37/TEMPERATURE,28.44883
2024-10-26 10:32:11,SA-37/LINE_LEVEL,544
2024-10-26 10:32:13,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:13,SA-37/LINE_LEVEL,560
2024-10-26 10:32:17,SA-37/TEMPERATURE,28.44883
2024-10-26 10:32:19,SA-37/LINE_LEVEL,544
2024-10-26 10:32:21,SA-37/LINE_LEVEL,560
2024-10-26 10:32:23,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:27,SA-37/LINE_LEVEL,544
2024-10-26 10:32:30,SA-37/LINE_LEVEL,560
2024-10-26 10:32:31,SA-37/TEMPERATURE,28.44883
2024-10-26 10:32:31,SA-37/LINE_LEVEL,544
2024-10-26 10:32:33,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:33,SA-37/LINE_LEVEL,560
2024-10-26 10:32:35,SA-37/LINE_LEVEL,544
2024-10-26 10:32:39,SA-37/TEMPERATURE,28.44883
2024-10-26 10:32:39,SA-37/LINE_LEVEL,560
2024-10-26 10:32:41,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:53,SA-37/LINE_LEVEL,544
2024-10-26 10:32:55,SA-37/LINE_LEVEL,560
2024-10-26 10:32:57,SA-37/TEMPERATURE,27.51254
2024-10-26 10:32:59,SA-37/TEMPERATURE,27.98069
2024-10-26 10:32:59,SA-37/LINE_LEVEL,576
2024-10-26 10:33:01,SA-37/TEMPERATURE,27.51254
2024-10-26 10:33:01,SA-37/LINE_LEVEL,560
2024-10-26 10:33:03,SA-37/TEMPERATURE,27.98069
